---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                         C-831       C-439       C-697       C-468       C-583       C-260       C-161       C-333       C-724       C-960       C-342       C-396       C-951       C-551       C-798       C-971       C-116       C-688       C-986       C-625       C-440       C-901       C-262       C-338       C-563   
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Alcock, Frederica    |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     
Alix, Samara         |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     -     
Alm, Rupert          |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     
Almanza, Eliana      |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     -     
Bautista, Heather    |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     -     
Belanger, Frida      |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     -     
Blaisdell, Zenaida   |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     
Bontrager, Kimber    |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     
Brenneman, Delinda   |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     
Brignac, Sherrell    |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     X     
Brockett, Britt      |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     X     
